id,licenseNumber,licenseStatus,licenseTerm,licenseType,licenseDesignation,issueDate,expirationDate,licenseStatusDate,businessLegalName,businessDbaName,businessOwnerName,businessStructure,activity,premiseStreetAddress,premiseCity,premiseState,premiseCounty,premiseZipCode,businessEmail,businessPhone,parcelNumber,PremiseLatitude,PremiseLongitude
16240,C10-0000054-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/14/2019 00:00:00,05/13/2026 00:00:00,,"Onesra Enterprises, Inc.","Euphoric Caregivers, Prop- 215",Arsen Ordoukhanian,Corporation,Data Not Available,10655 Pico Blvd W,Los Angeles,CA,Los Angeles,90064,Oarsen@ymail.Com,(310) 500-9858,Data Not Available,34.04277155,-118.42380637
16242,C10-0000056-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/15/2019 00:00:00,05/14/2026 00:00:00,,"The Green Goddess, Inc.",Green Goddess Collective,"Daniel Stein, John Huffman, Patrick Gallogly",Corporation,Data Not Available,1716 Main St,Venice,CA,Los Angeles,90291,Daniel@greengoddesscollective.Com,(310) 396-7770,Data Not Available,33.98753478,-118.47047147
16243,C10-0000057-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/15/2019 00:00:00,05/14/2026 00:00:00,,"Jet Room, Inc.",Data Not Available,"Lisa Guerra, Manuel Serrano",Corporation,Data Not Available,17499 Adelanto Rd,Adelanto,CA,San Bernardino,92301,Marcella@jetroom.Com,(909) 531-3793,Data Not Available,34.56834009,-117.40067004
16244,C10-0000058-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/16/2019 00:00:00,05/15/2026 00:00:00,,Central Valley - Sierra Associates,CATALYST-PATTERSON,"Elliot Lewis, Sadie Schut",Corporation,Data Not Available,"100 Las Palmas Ave W, Suite H",Patterson,CA,Stanislaus,95363,Eklopping@gmail.Com,(209) 606-7913,Data Not Available,37.471571,-121.127384
16245,C10-0000059-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/16/2019 00:00:00,05/15/2026 00:00:00,,"Valley Pure,LLC",VALLEY PURE,Bruce Kopitar,Limited Liability Company,Data Not Available,132 Valencia Blvd N,Woodlake,CA,Tulare,93286,Bruce@greensmartfarmer.Com,(559) 786-8882,Data Not Available,36.414466,-119.09864
16247,C10-0000061-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/16/2019 00:00:00,05/15/2026 00:00:00,,"North Hollywood Compassionate Caregivers, Inc.",Data Not Available,"Anna Proshak, Anzhela Proshak",Corporation,Data Not Available,8085 Webb Ave,N Hollywood,CA,Los Angeles,91605,Angie91356@gmail.Com,(818) 399-9715,Data Not Available,34.21766989,-118.38984316
16248,C10-0000062-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/16/2019 00:00:00,05/15/2026 00:00:00,,"Coastal Dispensary, LLC","Coastal Dispensary, LLC","Greg Gamet, Laurie Holcomb, Marshall Minor, Richard Ormond",Limited Liability Company,Data Not Available,1019 Chapala St,Santa Barbara,CA,Santa Barbara,93101,Info@coastaldispensary.Com,(805) 380-7730,Data Not Available,34.42073,-119.70396
16147,C10-0000064-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/17/2019 00:00:00,05/16/2026 00:00:00,,"Hueneme Patient Consumer Collective, LLC",HPC- Hueneme Patient Collective,Beth Thuna,Limited Liability Company,Data Not Available,"501 Channel Islands Blvd W, Unit 302",Port Hueneme,CA,Ventura,93041,Marwayconsults@gmail.Com,(805) 203-3016,Data Not Available,34.176404,-119.211833
16148,C10-0000065-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/17/2019 00:00:00,05/16/2026 00:00:00,,"Homeopathic Cultivation, Inc",Desert Kush,"John Ramistella, Nicholas Kacha",Corporation,Data Not Available,36633 Cathedral Canyon Dr,Cathedral CTY,CA,Riverside,92234,Contact@mefarmacy.Com,(760) 832-8348,Data Not Available,33.782396,-116.467322
16149,C10-0000066-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/17/2019 00:00:00,05/16/2026 00:00:00,,Gravenstein 116 LLC,Solful,"Eli Melrod, Jeffrey Ubben, Laura Ubben, Richard McNally, Theodore Ubben",Limited Liability Company,Data Not Available,785 Gravenstein Hwy S,Sebastopol,CA,Sonoma,95472,Eli@solful.Com,(415) 794-3363,Data Not Available,38.395169,-122.818391
16150,C10-0000067-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/19/2019 00:00:00,05/18/2026 00:00:00,,Element 7 Cathedral City Inc,Element 7 Cathedral City Inc,"Kevin Singer, Robert  DiVito",Corporation,Data Not Available,"68945 Vista Chino, Suite C",Cathedral CTY,CA,Riverside,92234,Robert@e7ca.Com,(415) 906-9655,Data Not Available,33.844676,-116.459567
16157,C10-0000074-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/22/2019 00:00:00,05/21/2026 00:00:00,,"Sb License 01, LLC",Captain Jacks,Jake Welty,Limited Liability Company,Data Not Available,"100 Hospitality Ln W, Suite 2",San Bernardino,CA,San Bernardino,92408,Info@captainjacks420.Com,(909) 381-6400,Data Not Available,34.066117,-117.285745
16416,C10-0000076-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/22/2019 00:00:00,05/21/2026 00:00:00,,"Valley Greens Retail Outlet, Inc.",March and Ash Cannabis,"Blake Marchand, Breton Peace, Brindley Kershaw, Jeffrey Hornsby, Jonathan  Saco",Corporation,Data Not Available,"2835 Camino Del Rio S, Suite 100",San Diego,CA,San Diego,92108,Bret@marchandash.Com,(619) 504-2424,Data Not Available,32.769775,-117.132844
16418,C10-0000079-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/23/2019 00:00:00,05/22/2026 00:00:00,,"The Grove La Mesa, Inc.",The Grove,Sean McDermott,Corporation,Data Not Available,8155 Center St,La Mesa,CA,San Diego,91942,Sean@thegroveca.Com,(619) 342-6500,Data Not Available,32.77150501,-117.02156992
16419,C10-0000080-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/23/2019 00:00:00,05/22/2026 00:00:00,,Socal's Choice Inc.,SoCal's Choice Inc,"Bruce Spencer, Eric Minicucci, Jeanne Stewart, Keith Fuller, Martin Reavh, Moshe Moyal, Robert McKee, Tory Dapello",Corporation,Data Not Available,118 S H St,Lompoc,CA,Santa Barbara,93436,Socalschoiceinc@gmail.Com,(805) 701-9970,Data Not Available,34.63809808,-120.45749055
16420,C10-0000081-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/23/2019 00:00:00,05/22/2026 00:00:00,,"Delta 9 Thc, LLC [Equity Retailer]",Delta 9 THC [Equity Retailer],"Javier  Montes, Jeremy Thomas",Limited Liability Company,Data Not Available,"824 Anaheim St E, Unit B",Wilmington,CA,Los Angeles,90744,Javier227@yahoo.Com,(310) 408-9621,Data Not Available,33.780241,-118.252495
16421,C10-0000082-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/23/2019 00:00:00,05/22/2026 00:00:00,,Maywood Green Solutions LLC,Haven Cannabis Marijuana and Weed Dispensary - Maywood,"Mark  Simonian, Toby Dowling",Limited Liability Company,Data Not Available,3951 Slauson Ave,Maywood,CA,Los Angeles,90270,Licensing@nextgenenterprises.Biz,(562) 280-7414,Data Not Available,33.988318,-118.194825
16422,C10-0000084-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/24/2019 00:00:00,05/23/2026 00:00:00,,"The Coachella Lighthouse, LLC","THE COACHELLA LIGHTHOUSE, LLC","Joseph Rubin, Zach Werner",Limited Liability Company,Data Not Available,84160 Avenue 48,Coachella,CA,Riverside,92236,Ckirk@lighthousedispensary.Com,(760) 574-3471,Data Not Available,33.70034007,-116.18585008
16423,C10-0000085-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/27/2019 00:00:00,05/26/2026 00:00:00,,"Mission Hills Patients Collective, Inc.",Bud And Beyond,Edgar Gevorgyan,Corporation,Data Not Available,6944 N Reseda Blvd,Reseda,CA,Los Angeles,91335,Mhpcollective1@gmail.Com,(213) 618-4894,Data Not Available,34.197059,-118.535706
16425,C10-0000087-LIC,Active,Annual,Commercial -  Retailer,Medicinal,05/28/2019 00:00:00,05/27/2026 00:00:00,,"Canopy Club, Inc.",Data Not Available,Ryan Howe,Corporation,Data Not Available,118 Milpas St N,Santa Barbara,CA,Santa Barbara,93103,Rhowe@canopysb.Com,(805) 895-2578,Data Not Available,34.423244,-119.680646
16426,C10-0000088-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/28/2019 00:00:00,05/27/2026 00:00:00,,Honeydew Solutions Corp,Perfect Union,"Laythen Martines, Mansoor Zakaria, Thomas Cologna, Thomas Sheridan",Corporation,Data Not Available,2601 State St N,Ukiah,CA,Mendocino,95482,Licensing@mwgholdings.Com,(707) 298-8105,Data Not Available,39.183569,-123.209025
16428,C10-0000090-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/29/2019 00:00:00,05/28/2026 00:00:00,,Ksp99 LLC,Pure Life,"Kelly Chiusano, Summer Bradley",Limited Liability Company,Data Not Available,537 Pleasant Valley Rd,Diamond SPGS,CA,El Dorado,95619,Healingpurelife@gmail.Com,(530) 622-7873,Data Not Available,38.69479995,-120.81335992
16430,C10-0000092-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/29/2019 00:00:00,05/28/2026 00:00:00,,"Ie Gardens, Inc.",Empire Gardens,Nader Awad,Corporation,Data Not Available,"4164 N Perris Blvd, Suite C",Perris,CA,Riverside,92571,Iegardens17@gmail.Com,(951) 536-0816,Data Not Available,33.847345,-117.226779
16431,C10-0000093-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/29/2019 00:00:00,05/28/2026 00:00:00,,"Kush Alley, Inc., A California Corporation","KUSH ALLEY, INC., A CALIFORNIA CORPORATION","Christopher Agrios, David Bosworth, Julius Giannini, William Brown",Corporation,Data Not Available,16733 Schoenborn St,North Hills,CA,Los Angeles,91343,Info@kushalleyca.Com,(818) 810-9642,Data Not Available,34.222743,-118.497877
16432,C10-0000094-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/29/2019 00:00:00,05/28/2026 00:00:00,,Desert Organic Solutions Collective,Vibe Palm Springs,"Aaron Johnson, Gordon Anderson, James Walker, Joseph Starr, Mark Waldron, Michal Holub",Corporation,Data Not Available,"19486 Newhall St, Suite 102",Palm Springs,CA,Riverside,92258,Info@desertorganicsolutions.Com,(760) 288-4000,Data Not Available,33.906697,-116.549344
16435,C10-0000097-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/30/2019 00:00:00,05/29/2026 00:00:00,,Bi Supportive Services LLC,Therapeutic Healthcare Collective,"Angilbert  Sarkis, carolina fernandez",Limited Liability Company,Data Not Available,5011 Soquel Dr,Soquel,CA,Santa Cruz,95073,Corp@thcsoquel.Com,(209) 238-9102,Data Not Available,36.9884617,-121.952958
16436,C10-0000098-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/30/2019 00:00:00,05/29/2026 00:00:00,,Universal Herbal Center LLC,XZIBIT'S WEST COAST CANNABIS CHATSWORTH,"Danny Abdelmalak, William kamar",Limited Liability Company,Data Not Available,9155 Deering Ave N,Los Angeles,CA,Los Angeles,91311,Universalherbalcenter@gmail.Com,(310) 867-3853,Data Not Available,34.237298,-118.596764
7073,C10-0000100-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/31/2019 00:00:00,05/30/2026 00:00:00,,All Natural Inc,"All Natural, Inc.",gerald roemer,Corporation,Data Not Available,"4151 Shingle Rd S, Suite 2",Shingle SPGS,CA,El Dorado,95682,Allnaturalinc@yahoo.Com,(530) 676-4032,Data Not Available,38.6597,-120.935822
7104,C10-0000102-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/31/2019 00:00:00,05/30/2026 00:00:00,,The Green Heart Collective. Org,The Green Heart,"Eleazar Duran, Gina Munday, Griselda Duran",Corporation,Data Not Available,625 Mount Shasta Blvd S,Mount Shasta,CA,Siskiyou,96067,Ginamunday@att.Net,(530) 941-0291,Data Not Available,41.30780202,-122.31143415
7105,C10-0000103-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/30/2025 00:00:00,05/30/2026 00:00:00,,"55 Oc Collective, Inc.",Jungle Boys,Martin  Vivero,Corporation,Data Not Available,2911 Tech Ctr,Santa Ana,CA,Orange,92705,55occollective420@gmail.Com,(760) 814-7398,Data Not Available,33.705625,-117.855616
7107,C10-0000105-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/31/2019 00:00:00,05/30/2026 00:00:00,,Kgmb LLC,Tree House,"Bryce Berryessa, Kelly Moriarty, Kyle Giorchino",Limited Liability Company,Data Not Available,3651 Soquel Dr,Soquel,CA,Santa Cruz,95073,Kyle@ourtreehouse.Io,(831) 818-2956,Data Not Available,36.987534,-121.967745
7108,C10-0000106-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,06/03/2019 00:00:00,06/02/2026 00:00:00,,Valiplug Inc,CALI KOSHER,Darron Silva,Corporation,Data Not Available,4725 Yosemite Blvd,Modesto,CA,Stanislaus,95357,Jdl272@yahoo.Com,(209) 216-8966,Data Not Available,37.638613,-120.907915
7109,C10-0000107-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,06/03/2019 00:00:00,06/02/2026 00:00:00,,"Kb Collective For Compassion And Care, Inc.",The Kind Center,Lisa Crockett,Corporation,Data Not Available,1944 N Cahuenga Blvd,Los Angeles,CA,Los Angeles,90068,Kindcenter420@gmail.Com,(323) 318-9053,Data Not Available,34.10657136,-118.33032762
7110,C10-0000108-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,06/03/2019 00:00:00,06/02/2026 00:00:00,,Phog Center LLC,Data Not Available,Jesus Sahagun,Limited Liability Company,Data Not Available,2270 Palmetto Ave,Pacifica,CA,San Mateo,94044,Jesus@phogcenter.Com,(650) 218-8583,Data Not Available,37.63161173,-122.49255154
7111,C10-0000109-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,06/04/2019 00:00:00,06/03/2026 00:00:00,,Golden State Patient Care LLC,Data Not Available,James Dion,Limited Liability Company,Data Not Available,233 State Highway 174,Colfax,CA,Placer,95713,Gspcdispensary@gmail.Com,(530) 512-5183,Data Not Available,39.097426,-120.950272
7114,C10-0000112-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,06/04/2019 00:00:00,06/03/2026 00:00:00,,"Olive Drive Enterprises, LLC",Stiiizy Retail Olive Drive,"Chaundhry Ali, Isaac Kim, James Kim, Melissa Sanchez, Richard Lobely, Tak Sato, Vivian Khong",Limited Liability Company,Data Not Available,"965 Olive Dr, Suite G1",Davis,CA,Yolo,95616,Melissa@harvestlaw.Com,(310) 776-0517,Data Not Available,38.540313,-121.739941
7115,C10-0000113-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,06/04/2019 00:00:00,06/03/2026 00:00:00,,"Ukiah Valley Holistics, Inc",Cannavine,"Hrant Ekmekjian, Laila Ekmekjian, Michael Taylor",Corporation,Data Not Available,"1230 Airport Park Blvd, Suite C",Ukiah,CA,Mendocino,95482,Ukiahvalleyholistics@gmail.Com,(707) 599-1831,Data Not Available,39.131351,-123.199849
